extracted,abstract
," because of rampant concern that estrogenic chemicals in the environment may be adversely affecting the health of humans and wildlife , reliable methods for detecting and characterizing estrogenic chemicals are needed . 
 it is important that general agreement be reached on which tests to use and that these tests then be applied to the testing of both man - made and naturally occurring chemicals . as a step toward developing a comprehensive approach to screening 
 chemicals for estrogenic activity , three assays for detecting estrogenicity were conducted on 10 chemicals with known or suspected estrogenic activity . 
 the assays were 1 ) competitive binding with the mouse uterine estrogen receptor , 2 ) transcriptional activation in hela cells transfected with plasmids containing an estrogen receptor and a response element , and 3 ) the uterotropic assay in mice . 
 the chemicals studied were 17 beta - estradiol , diethylstilbestrol , tamoxifen , 4-hydroxytamoxifen , methoxychlor , the methoxychlor metabolite 2,2-bis(p - hydroxyphenyl)-1,1,1-trichloroethane ( hpte ) , endosulfan , nonylphenol , o , p'-ddt , and kepone . 
 these studies were conducted to assess the utility of this three - assay combination in the routine screening of chemicals , or combinations of chemicals , for estrogenic activity . 
 results were consistent among the three assays with respect to what is known about the estrogenic activities of the chemicals tested and their requirements for metabolic activation . by providing information on three levels of hormonal activity 
 ( receptor binding , transcriptional activation , and an in vivo effect in an estrogen - responsive tissue ) , an informative profile of estrogenic activity is obtained with a reasonable investment of resources.imagesp1296-afigure 1.figure 2.figure 3.figure 4.figure 5 . "
"alzheimer s disease  ad  is a neurodegenerative disorder that is clinically characterized by progressive mental decline and histopathologically defined by highly abundant amyloid deposits and neurofibrillary tangles in the brain parenchyma  
  in sum  it appears that the preponderance of the data can be most consistently interpreted as showing that the brain inflammatory protein apoe plays a catalytic role in the ad  ds amyloid cascade and consequent cognitive decline  with binding and clearance differences between the apoe isoforms reflecting their differing abilities to bind to a and catalyze its conversion into neurotoxic macromolecular species  figure 2"," the amyloid cascade hypothesis remains a robust model of ad neurodegeneration . 
 however , amyloid deposits contain proteins besides a , such as apolipoprotein e ( apoe ) . 
 inheritance of the apoe4 allele is the strongest genetic risk factor for late - onset ad . 
 however , there is no consensus on how different apoe isotypes contribute to ad pathogenesis . 
 it has been hypothesized that apoe and apoe4 in particular is an amyloid catalyst or  
 pathological chaperone  . 
 alternatively it has been posited that apoe regulates a clearance , with apoe4 been worse at this function compared to apoe3 . 
 these views seem fundamentally opposed . 
 the former would indicate that removing apoe will reduce ad pathology , while the latter suggests increasing brain apoe levels may be beneficial . 
 here we consider the scientific basis of these different models of apoe function and suggest that these seemingly opposing views can be reconciled . the optimal therapeutic target may be to inhibit the interaction of apoe with a rather than altering apoe levels . 
 such an approach will not have detrimental effects on the many beneficial roles apoe plays in neurobiology . 
 furthermore , other a binding proteins , including act and apo j can inhibit or promote a oligomerization / polymerization depending on conditions and might be manipulated to effect ad treatment . "
"musculoskeletal tissues show increased bone fragility  loss of cartilage resilience  reduced ligament elasticity  loss of muscular strength  and fat redistribution decreasing the ability of the tissues to carry out their normal functions  
conversely  the following are a cause for concern  a single vc  involvement of the cervical spine  heterogeneous increased or decreased radiolucency that can not be explained by an underlying end plate fracture  a focal collapse  on the ap or lateral view   or a bulging of the vertebral body or cortical osteolysis  figure 1b   
when the clinical  biological  and radiographic findings are uncertain  an ultrasound may be particularly helpful  as this technique may demonstrate more tophi  figure 10  and erosions than plain films  more synovitis than a clinical examination  suggestive hyperechoic aggregates in the synovium or in the joint fluid  which may be aspirated  and the double contour sign  an irregular hyperechoic band over the superficial margin of the articular cartilage  related to crystal deposition"," musculoskeletal disorders are among the most common problems affecting the elderly . 
 the resulting loss of mobility and physical independence can be particularly devastating in this population . 
 the aim of this article is to present some of the most frequent musculoskeletal disorders of the elderly , such as fractures , osteoporosis , osteoarthritis , microcrystal disorders , infections , and tumors . "
"migraine is the leading neurological cause for seeking medical care  and is associated with significant disability in the sufferer   in the first phase of our study  screening phase   trained community health workers screened for the occurrence of headaches using the following question   have you had any headache episode over the last 12  months  
those who screened positive were asked about headache frequency in the past month  and those reporting 15  days or more of headache were offered in  person assessment by neurologists with expertise in headache medicine"," although the association between episodic migraine and psychiatric comorbidities is well documented , few studies have focused on the comorbidity with chronic migraine ( cm ) and discrepancies exist between population - based and clinic - based data . 
 the objective of this study is to compare demographic and psychiatric comorbidity correlates between cm samples drawn from the community and tertiary care . 
 all inhabitants from a city borough were interviewed for the presence of headaches occurring 15 or more days per month . 
 cm was diagnosed after subjects had been interviewed and examined by a headache doctor . 
 participants were also assessed with a structured interview by a psychiatrist , who assigned diagnoses based on the dsm - iv . 
 the same investigators assessed all patients consecutively seen in a university - based outpatient headache center over a 4-month period . 
 the samples consist of 41 individuals from the community and 43 from the headache center . 
 sociodemographic profiles were similar between groups with the exception of the mean number of years of formal education . among individuals from the community , psychiatric diagnoses were present in 65.9  % of cases , relative to 83.7  % in those from the headache center ( p  =  0.06 ) . 
 phobias ( 41.9 vs. 29.3  % ) and depression ( 32.6 vs. 29.3  % ) were more frequent in patients from the headache center , but this difference did not reach statistical significance . 
 thus the frequency of psychiatric disorders in patients with cm was elevated in both settings , being higher in the specialty care clinic . "
"m1dg  32deoxyd  erythro  pentofuranosylpyrimido12purine103hone  is one of many endogenous exocyclic lesions derived 
 from the reaction of dna with bifunctional electrophiles generated 
 by lipid  protein  or dna peroxidation   for wells that included
6oxo  m1dg or structural analogues  the serum dilution used was 15000 
 in pbs  tween  b   and the compounds depicted in figure 1 were preincubated in the dilute murine serum for 45 min prior 
 to the serum addition step"," oxidative stress triggers dna and lipid peroxidation , 
 leading to 
 the formation of electrophiles that react with dna to form adducts . 
 
 a product of this pathway , ( 3-(2-deoxy--d - erythro - pentofuranosyl)-pyrimido[1,2-]purine-10(3h)-one ) , or m1dg , is mutagenic in bacterial and 
 mammalian cells and is repaired by the nucleotide excision repair 
 pathway . in vivo , m1dg is oxidized to a primary metabolite , 
 ( 3-(2-deoxy--d - erythro - pentofuranosyl)-pyrimido[1,2-]purine-6,10(3h,5h)-dione , or 6-oxo - m1dg , 
 which is excreted in urine , bile , and feces . 
 we have developed a specific 
 monoclonal antibody against 6-oxo - m1dg and have incorporated 
 this antibody into a procedure for the immunoaffinity isolation of 
 6-oxo - m1dg from biological matrices . 
 the purified analyte 
 is quantified by lc - ms / ms using a stable isotope - labeled analogue 
 ( [ 15n5]-6-oxo - m1dg ) as an internal 
 standard . 
 healthy male sprague  dawley rats excreted 6-oxo - m1dg at a rate of 3501893 fmol / kgd in feces . 
 this 
 is the first report of the presence of the major metabolite of m1dg in rodents without exogenous introduction of m1dg . "
"a 60year  old woman  height  162 cm  weight  61 kg  visited pain clinic with tactile allodynia and electric shock  like pain in the left dorsal scapular area around the t3 dermatome  which had been diagnosed as phn about 1 month previously and attack of the herpes zoster was 1 year ago  
one week after the last procedure  the vas score of allodynia decreased to 15100 and all medications except pregabalin were discontinued"," although postherpetic neuralgia ( phn ) is a common chronic pain syndrome , the pathophysiology of this disorder is not well known and management is often very difficult . 
 n - methyl - d - aspartate ( nmda ) receptor antagonists are known to be effective in phn , and magnesium , a physiological blocker of nmda receptors , is widely used to treat various chronic pain disorders . here , 
 we present a case of the phn refractory to conventional treatment , which was treated successfully with transforaminal epidural injection of magnesium sulphate at the affected dermatome . "
"central retinal vein occlusion  crvo  is a common sight  threatening vascular disease with prevalence rates ranging from 0 
this finding is important because an evaluation of the peripheral retina using uwfa may be a prognostic factor and allows the ophthalmologists to estimate the requirement for more or fewer intravitreal injections based on the peripheral retinal perfusion status"," purposeto evaluate the association between the size of peripheral retinal nonperfusion and the number of intravitreal ranibizumab injections in patients with treatment - nave central retinal vein occlusion ( crvo).methodsfifty - four patients with treatment - nave crvo and macular edema were included . 
 each patient underwent a full ophthalmologic examination including optical coherence tomography imaging and ultrawide - field fluorescein angiography . 
 monthly intravitreal ranibizumab injections were applied according to the recommendations of the german ophthalmologic society . 
 two ophthalmologists quantified the areas of peripheral retinal nonperfusion ( group 1= less than five disc areas , group 2= more than five disc areas ) . 
 correlation analyses between the size of nonperfusion with best - corrected visual acuity , central subfield thickness , and the number of intravitreal injections were performed.resultsbest-corrected visual acuity improved significantly after intravitreal injections ( p<0.001 , both groups ) . 
 final central subfield thickness after treatment did not significantly differ between both groups ( p=0.92 , p=0.96 , respectively ) . 
 mean number of injections in group 1 and group 2 was 4.122.73 and 9.323.84 , respectively ( p<0.001 ) . 
 there was a significant positive correlation between areas of nonperfusion and the number of injections in each group . 
 ( r=0.97 , p<0.001 ; r=0.94 , p<0.001 , respectively).conclusionperipheral retinal nonperfusion in patients with crvo correlates significantly with the number of needed intravitreal ranibizumab injections . 
 ultrawide - field fluorescein angiography is a useful tool for detection of peripheral retinal ischemia , which may have direct implications in the diagnosis , follow - up , and treatment of these patients . "
"small bowel obstruction  sbo  is one of the most feared complications after a gastric bypass  
a hand  sewn technique could be used to close the common enterotomy and might reduce the incidence of sbo slightly  but the cut end of the biliopancreatic limb still has an exposed staple line"," background and objectives : there is a wide variation of reported incidence of small bowel obstruction ( sbo ) after laparoscopic roux - en - y gastric bypass ( lgb ) . 
 there is also wide variation in technique , not only in placement of the roux limb , but also regarding closure or nonclosure of the mesenteric defects . 
 the objective of this study was to examine the incidence and characteristics of sbo after antecolic antegastric bypass with nonclosure of the mesenteric defect of the jejunojejunal anastomosis.methods:this is a retrospective review of a series of consecutive lgbs over a 3-year period . 
 all procedures were performed by the same surgeon using the same technique . in no case was the mesenteric defect closed . a prospectively maintained database 
 was used for data collection . 
 patients who returned with an sbo were the study group , and those who underwent revisional bariatric surgery or conversion to open operation were excluded.results:there were 249 primary lgbs performed during the study period ; 15 of the operations were followed by sbo , for an incidence of 6.0% . 
 four cases were caused by an internal hernia ( ih ) , for an incidence of 1.6% , and 11 were caused by adhesions , which accounted for 73% of the sbos.conclusions:sbo after lgb is a relatively common complication . 
 the incidence of sbo from ih with nonclosure of the mesenteric defect is similar to that in other series where the defect is closed . 
 regardless of the cause of the sbo , operative treatment of the patient who has a gastric bypass remains the definitive standard and should not be delayed . "
the following section describes the treatment procedure for patients with deep infection following tka using modified static spacers   in addition  a metal nail can not be removed easily at the second stage reimplantation due to its hardness  and soft tissue adhesion of the femoral or tibial medullary canals," the two - stage exchange arthroplasty ( one- or two - stage ) is believed to be the gold standard for the management of infections following total knee arthroplasty . 
 we herein report a novel two - stage exchange arthroplasty technique using an antibiotic - impregnated cement intramedullary nail , which can be easily prepared during surgery using a straight thoracic tube and a steinmann pin , and may provide additional stability to the knee to maintain normal mechanical axis . 
 in addition , there is less pain between the period of prosthesis removal and subsequent reimplantation . 
 less soft tissue contracture , less scar adhesion , easy removal of the cement intramedullary nail , and successful infection control are the advantages of this technique . "
"mental fatigue is common and can be a disabling long  time condition following a stroke   even for those with an almost recovered stroke and without neurological and neuropsychological impairments 
the person who suffers from mental fatigue is able to perform mental effort just for short periods  and  notably  it will take longer than normal to regain energy after being exhausted"," mental fatigue is for many a distressing and long - term problem after stroke . 
 this mental fatigue will make it more difficult for the person to return to work and previous activities . 
 the intention with this study is to investigate mental fatigue in relation to depression and cognitive functions . 
 we examined 24 well - rehabilitated stroke subjects , who suffered from mental fatigue one year or more after a stroke , and 24 healthy controls . 
 subjects were examined using self - assessment scales for mental fatigue , depression and anxiety , and cognitive tests . 
 the results showed a highly increased rating for mental fatigue for the stroke group ( p < 0.001 ) . 
 these participants also had a significantly higher rating on the depression ( p < 0.001 ) and anxiety ( p < 0.001 ) scales . 
 furthermore , they had a slower information processing speed ( p < 0.001 ) and made more errors in a demanding attention and speed test ( p < 0.05 ) . among the cognitive tests , processing speed and errors made in an attention and speed test were significant predictors for mental fatigue . 
 we suggest mental fatigue following a stroke to be related to cognitive impairments , primarily information processing speed . 
 mental fatigue should also be treated as a separate phenomenon and should be differentiated from , and not confused with , depression , even if overlapping symptoms exist . "
"cigarette smoke  cs  is associated with the development of inflammation  related diseases such as chronic obstructive pulmonary disease and vascular diseases  including atherosclerosis and stroke  
horseradish  peroxidase  conjugated anti  igg antibodies were used as the secondary antibody to detect the above  mentioned protein bands by enhanced chemiluminescence westsave  up  abfrontier"," cigarette smoke is considered a major risk factor for vascular diseases . 
 there are many toxic compounds in cigarette smoke , including acrolein and other ,-unsaturated aldehydes , which are regarded as mediators of inflammation and vascular dysfunction . 
 furthermore , recent studies have revealed that acrolein , an ,-unsaturated aldehyde in cigarette smoke , induces inflammatory mediator expression , which is known to be related to vascular diseases . in this study , we investigated whether korean red ginseng ( krg ) water extract suppressed acrolein - induced cyclooxygenase ( cox)-2 expression in human umbilical vein endothelial cells ( huvecs ) . 
 acrolein - induced cox-2 expression was accompanied by increased levels of phosphorylated p38 in huvecs and krg inhibited cox-2 expression in huvecs . 
 these results suggest that krg suppresses acrolein - induced cox-2 expression via inhibition of the p38 mitogen - activated protein kinase signaling pathway . 
 in addition , krg exhibited an inhibitory effect on acrolein - induced apoptosis , as demonstrated by annexin v  
 propidium iodide staining and terminal deoxynucleotidyl transferase - mediated dutp nick end - labeling assay . 
 consistent with these results , krg may exert a vasculoprotective effect through inhibition of cox-2 expression in acrolein - stimulated human endothelial cells . "
"4cl4coumarate  coa ligasecas9crispr  associated protein 9crisprclustered regularly interspaced short palindromic repeatsctcondensed tanningrnaguide rnammillionpamprotospacer adjacent motifpol iiirna polymerase iiirnairna interferencernaseribonucleasesnpsingle nucleotide polymorphisms  g ligninsyringyl  to  guaiacyl lignin ratiotrnatransfer rna 4coumarate  coa ligase crispr  associated protein 9 clustered regularly interspaced short palindromic repeats protospacer adjacent motif single nucleotide polymorphism syringyl  to  guaiacyl lignin ratio
since the first report of its programmable gene editing potential  the crispr  cas9 technology is revolutionizing all facets of biology from medicine to agriculture  jinek et  al  
even when only a few mutation events are obtained  for difficult  to  transform species or from suboptimal transformation trials   the ability to bypass rna  level screening and to obtain stable mutations still confers advantages over the gene  silencing approaches"," abstractthe crispr / cas9 technology is a welcome breakthrough for genome editing , owing to its precision , efficiency , versatility and ease of adoption . 
 we recently reported the first application of crispr / cas9 for biallelic mutations in stably transformed populus , extending the species range of this powerful technology to woody perennials . 
 an underappreciated obstacle in genome editing of outcrossing species is the frequent occurrence of sequence polymorphisms that can render crispr / cas9 unproductive . 
 we discuss experimental evidence as well as genome - wide computational analysis to demonstrate the sensitivity of crispr / cas9 to allelic heterozygosity , and highlight tools and strategies that can help deal with such sequence polymorphisms . with its specificity , crispr / cas9 offers a less equivocal means than previous approaches for discerning functional redundancy of paralogous genes that are prevalent in plant genomes . 
 continuing improvements of the crispr / cas9 system for multiplex genome engineering should facilitate these efforts . 
 the paradigm shift brought about by crispr / cas9 promises to accelerate not only basic research but also applied crop improvement progress . "
"like cofe3o4  which recently underwent extensive study to 
 elucidate both the 
 oxidative stability of the core and the phase of the shell  feptfe3o4 core 
shell 
 nanoparticles can be used as building blocks to form nanocomposites 
 with enhanced magnetic properties with the potential for novel applications  
independent component maps  c  e  show that  c  ic0 
 is concentrated in the nanoparticle cores   d  ic1 in the shells  
 and  e  ic2 everywhere on the carbon supporting film  scale  50 
 nm  greyscale  normalized weighting"," the chemical composition of core  shell 
 nanoparticle clusters 
 have been determined through principal component analysis ( pca ) and 
 independent component analysis ( ica ) of an energy - dispersive x - ray 
 ( edx ) spectrum image ( si ) acquired in a scanning transmission electron 
 microscope ( stem ) . 
 the method blindly decomposes the si into three 
 components , which are found to accurately represent the isolated and 
 unmixed x - ray signals originating from the supporting carbon film , 
 the shell , and the bimetallic core . 
 the composition of the latter 
 is verified by and is in excellent agreement with the separate quantification 
 of bare bimetallic seed nanoparticles . "
"ionic calcium  ca  controls multiple cellular signaling processes in all eukaryotic cells  including proliferation  gene expression  and neurotransmitter release  
next  we evaluated the kinetics of the   cell response to acute glucose exposure  and observed that the pulse group secreted more insulin at basal  time zero  and stimulatory concentrations of glucose  16"," ca2+/calmodulin - dependent protein kinase ii ( camkii ) functions both in regulation of insulin secretion and neurotransmitter release through common downstream mediators . 
 therefore , we hypothesized that pancreatic  - cells acquire and store the information contained in calcium pulses as a form of  metabolic memory  , just as neurons store cognitive information . to test this hypothesis , we developed a novel paradigm of pulsed exposure of  - cells to intervals of high glucose , followed by a 24-h  consolidation period to eliminate any acute metabolic effects . 
 strikingly ,  - cells exposed to this high - glucose pulse paradigm exhibited significantly stronger insulin secretion . 
 this metabolic memory was entirely dependent on camkii . 
 metabolic memory was reflected on the protein level by increased expression of proteins involved in glucose sensing and ca2 + -dependent vesicle secretion , and by elevated levels of the key  - cell transcription factor mafa . in summary , like neurons , 
 human and mouse  - cells are able to acquire and retrieve information . "
"health is not only related to the absence of the disease  therefore we need to conceptualize and operationalize what health is   in order to complement the classification scheme  a comprehensive coding system that creates consistent and comparable data across all settings of care and a method of routinely capturing and disseminating these data  in a mode and manner consistent with social interests in preserving privacy  linked to measurement tools for clinical and related encounters
the foundation of a new structure for collecting fsi is  therefore  a standard classification and coding system that will make it feasible for fsi to be included in administrative data"," a common framework for describing functional status information ( fsi ) in health records is needed in order to make this information comparable and of value . 
 the world health organization 's ( who 's ) international classification of functioning , disability and health ( icf ) , which has been approved by all its member states , provides this common language and framework . the biopsychosocial model of functioning and disability embodied in the icf goes beyond disease and conceptualizes functioning from the individual 's body , person , and lived experience vantage points , thereby allowing for planning interventions targeted at the individual 's body , the individual as a whole or toward the environment . 
 this framework then permits the evaluation of both the effectiveness and cost effectiveness of these different interventions in devising programs at the personal or societal level . "
"the centers for disease control and prevention  cdc  and united states preventive services task force  uspstf  recommend universal hiv screening for all pregnant women entering prenatal care  1  2     
this information could be useful for counseling women who test positive for hiv at delivery and emphasizes the limitations of eia testing if used as a rapid test to determine the need for intrapartum and neonatal antiretroviral prophylaxis"," 
 objective . to examine risk factors for false positive hiv enzyme immunoassay ( eia ) testing at delivery 
 . study design . 
 a review of pregnant women who delivered at parkland hospital between 2005 and 2008 was performed .   
 patients routinely received serum hiv eia testing at delivery , with positive results confirmed through immunofluorescent testing .   
 demographics , hiv , hepatitis b surface antigen ( hbsag ) , and rapid plasma reagin ( rpr ) results were obtained .   
 statistical analyses included pearson 's chi - square and student 's t - test . results . 
 of 47,794 patients , 47,391 ( 99% ) tested negative , 145 ( 0.3% ) falsely positive , 172 ( 0.4% ) positive , and 86 ( 0.2% ) equivocal or missing hiv results . 
 the positive predictive value of eia was 54.3% .   
 patients with false positive results were more likely nulliparous ( 43% versus 31% , p 
 < 0.001 ) and younger ( 23.9  5.7 versus 26.2  5.9 years , p < 0.001 ) .   
 hiv positive patients were older than false positive patients and more likely positive for hbsag and rpr . 
 conclusion . 
 false positive hiv testing at delivery using eia is associated with young maternal age and nulliparity in this population . 
 "
"childhood obesity is a serious and growing public health problem that has arisen over the past three decades   in order to address this issue
 we conducted a community  based study to determine whether common variations in the gas6 and axl genes correlate with adiposity  systemic inflammation  insulin resistance among adolescents"," the present study was designed to explore the effects of gas6 and axl gene polymorphisms on adiposity , systemic inflammation , and insulin resistance in adolescents . 
 after multistage sampling from the data of the taipei children heart study - iii , we collected 358 boys and 369 girls with an average age of 13.3 years . 
 we genotyped the adolescents ' gas6 rs8191973 , gas6 rs8191974 , axl rs4802113 , and axl rs2304232 polymorphisms . 
 significantly higher body mass index ( bmi ) , waist circumference ( wc ) , and hscrp levels were found in boys with the gg genotype of gas6 rs8191974 than a allele carriers ; higher il-6 and insulin levels and increased homa - ir were found in boys with the gg genotype of axl rs2304232 than the a allele carriers . there was a significant difference in hscrp levels of boys with the tt , tc , and cc genotypes of axl rs4802113 . 
 boys with both the gg genotype of gas6 rs8191973 and the gg genotype of gas6 rs8191974 exhibited higher bmi , wc , il-6 , and hscrp levels than the boys carrying both the c allele of the gas6 rs8191973 and the a allele of the gas6 rs8191974 . in conclusion , 
 gas6 and axl polymorphisms are associated with adiposity , systemic inflammation , and insulin resistance in adolescents , especially in boys . "
"infertility is one of the crucial and critical events in sex life which engages 1015 of couples all over the world  and as one of the most distressful life experiences  exposes couples to social and psychological problems  
the present study aimed to assess the level of mental health in fertile women undergoing assisted reproductive treatments as a result of male factor infertility  at the beginning of ovulation stimulation process  and the effect of this process on their mental health"," introduction : the process of assisted reproductive treatment is a stressful situation in the treatment of infertile couples and it would harm the mental health of women . 
 fertile women who started infertility treatment due to male factor infertility have reported to experience less stress and depression than other women before the assisted reproductive process but considering the cultural and social factors and also the etiology of the assisted reproductive process , it could affect the metal health of these women . therefore , this study was conducted to evaluate the mental health of fertile women who undergo assisted reproductive treatment due to male factor infertility.materials and methods : this study was a prospective study on 70 fertile women who underwent assisted reproductive treatment due to male factor infertility . 
 the exclusion criterion was to stop super ovulation induction . to assess 
 mental health , anxiety and depression dimensions of the general health questionnaire were used . before starting ovulation induction and after oocyte harvesting , the general health questionnaire was filled by women who were under treatment . 
 data were analyzed using multi - variable linear regression , paired t - test , and chi-square.results:the results showed that the mean score of depression and anxiety before ovulation induction and after oocyte harvesting were not significantly different ; but the rate of mental health disorder in the depression dimension was significantly decreased after oocytes harvesting ( 31.7% vs. 39.7% ) . also , there was a significant relation between the level of anxiety and depression before ovulation induction and after oocyte harvesting ( p < 0.05 ) . 
 the anxiety level after oocyte harvesting had a positive and significant correlation with the economic situation ( p < 0.05).conclusion : this study revealed that the process of assisted reproductive treatment does not affect the mental health in fertile women independently , but these women start assisted reproductive process with high levels of depression and anxiety . 
 therefore , prior to the assisted reproductive treatment mental health consultation is needed . "
"balance impairment is an important fall  risk factor  and increases in range of postural sway in the mediolateral direction in older adults are associated with increased fall  risk and rates   in our study 
a lower proportion of falls occurred indoors  29  compared to outdoors  71   and although this is similar to other studies where more healthy samples have been reported as having a greater proportion of falls being outdoor falls  74    it may be a reason why no association between sway range and fall incidence was seen"," 
 introduction . 
 low serum vitamin d levels are associated with increased postural sway . 
 vitamin d varies seasonally . 
 this study investigates whether postural sway varies seasonally and is associated with serum vitamin d and falls 
 . methods . in a longitudinal observational study , eighty - eight independently mobile community - dwelling older adults ( 69.7  7.6 years ) were evaluated on five occasions over one year , measuring postural sway ( force platform ) , vitamin d levels , fall incidence , and causes and adverse outcomes . 
 mixed - methods poisson regression was used to determine associations between measures . results . 
 postural sway did not vary over the year . 
 vitamin d levels varied seasonally ( p < 0.001 ) , peaking in summer . 
 incidence of falls ( p = 0.01 ) and injurious falls ( p = 0.02 ) were lower in spring , with the highest fall rate at the end of autumn . 
 postural sway was not related to vitamin d ( p = 0.87 ) or fall rates , but it was associated with fall injuries ( irr 1.59 ( ci 1.14 to 2.24 , p = 0.007 ) . 
 conclusions . 
 postural sway remained stable across the year while vitamin d varied seasonally . 
 participants with high values for postural sway demonstrated higher rates of injurious falls . 
 this study provides important evidence for clinicians and researchers providing interventions measuring balance outcomes across seasons . "
"since the dawn of history  nature and natural sources  such as plants  animals  microbes  and minerals have remained a veritable source of bioactive compounds with medicinal values   
 
effect of alkaloids from senna alata leaves on some indices of oestrogenicity in pregnant rats values are expressed as meansd of six independent determinations  test values carrying superscripts different from the control for each parameter in the same row are significantly different  p  0"," backgroundthe abortifacient claim of senna alata ( s. alata ) was scientifically validated recently with alkaloids speculated to be the bioactive agent . 
 this speculation is yet to be substantiated or refuted by scientific evidence . 
 the present study was aimed to investigate the pregnancy terminating effects of the alkaloids from s. alata leaves.methodstwenty four pregnant rats ( 143.991.21 g ) allocated randomly to four groups : a , b , c and d respectively received , 0.5 ml of distilled water , 250 , 500 and 1000 mg / kg body weight of the s. alata extracted alkaloids orally , once daily from day 10 until day 18 post - coitum . 
 the indices of abortifacient were evaluated at the end of the exposure period . 
 the results were analyzed by both the analysis of variance and duncan 's multiple range test and p < 0.05 was considered as statistically significant.resultsthin-layer chromatographic separation produced five spots with rf values of 0.28 , 0.33 , 0.39 , 0.47 and 0.55 which gave positive reaction with meyer 's and wagner 's reagents , respectively . 
 the number of implantation sites and corpora lutea , as well as the concentrations of fsh , lh , progesterone , weight of uterus , uterine/ body weight ratio , glucose and cholesterol decreased significantly ( p < 0.05 ) whereas the resorption index , pre- and post - implantation losses , uterine protein content and alkaline phosphatase activity increased significantly . 
 none of the alkaloid treated animals presented with provoked vaginal opening or bleeding except fetal deaths . 
 the alkaloid decreased the maternal weight gain , as well as feed and water intake.conclusionoverall , the alkaloids from s. alata leaves exhibited anti - implantation , anti - gonadotropic , anti - progesteronic , embryonic resorptive , feto - maternal toxic activities but not complete abortifacient . 
 the alkaloids alone may not be the sole abortifacient bioactive agent in the leaf extract . "
"erg protein expression has been recently suggested to be reflective of erg gene rearrangements in prostate cancer  pca  documenting remarkable concordance between the two  16   
overall  there were no significant differences between the two subgroups  erg pos  erg neg  of patients except for pathological stage  with 37 of erg positive tumors detected in pt3 versus 24 in pt2"," 
 background . 
 the prognostic significance of erg expression in prostate cancer ( pca ) has generated mixed results . 
 we sought to investigate the prognostic significance of erg expression in a localized cohort of men with pca . 
 material and methods . 
 we investigated erg protein expression in a cohort of 198 men with localized pca . 
 erg expression was correlated with patients ' clinical outcome and several pathological parameters , including gleason score ( gs ) , pathological stage , surgical margin , and extra - capsular extension . results . 
 erg expression was detected in 86/198 ( 43.4% ) patients exclusively in neoplastic epithelium . 
 overall , erg mean expression intensity was 1.01  1.27 versus 0.37  0.83 in acinar pca compared to foamy type pca ( p < 0.001 ) . in hgpin , erg intensity levels were comparable to those in foamy type pca ( 0.13  0.56 ) but significantly lower than those in acinar pca ( p < 0.001 ) . 
 erg expression was significantly associated with extra - prostatic extension and higher pathological stage and showed a trend toward seminal vesicle invasion . 
 herein , erg expression was documented in 50/131 ( 38.1% ) patients with pt2 versus 30/55 ( 54.5% ) patients with pt3 ( p = 0.04 ) . 
 erg association with higher pathological stage was more pronounced in patients with gs > 7 . 
 grouping patients into those with gs  7 versus > 7 , there was no significant association between erg expression and gs . 
 similarly , no association was present in relation to either surgical margins or postsurgical serum psa levels . conclusion . 
 we report significant association between erg protein levels and extra - prostatic extension and higher pathological stage . 
 erg expression is not associated with adverse clinical outcome and is of limited prognostic value in localized pca . "
"the three main arteries of the leg  the anterior tibial artery  ata   posterior tibial artery and peroneal artery  form a dense vascular network around the distal leg  ankle  and foot  which ramifies perforators as the basis of all kinds of pedicle flaps such as lateral or medial malleolar perforator flaps  
the medial branch gives off ascendant perforators and descendent perforators  a  type c  the anterior supramalleolar artery originates as lateral and medial artery branches at the different point"," purpose : a further understanding of the anterior supramalleolar artery ( asma ) and its potential applications in reconstructive surgery.materials and methods : a total of 24 fresh lower limbs from fresh cadavers were injected with red latex for dissection . the type of origin , course , diameter of the pedicle , and the distance between the origin of the asma from the anterior tibial artery to the extensor retinaculum ( o - r ) were recorded . 
 bi - foliate fasciocutaneous flaps were harvested using the branches of the asma.results:we found four types of origin of the asma , and we have accordingly classified them into four types . 
 10 of them were type a , 7 were type b , 6 were type c and 1 was type d. the mean o - r ( origin of asma to retinaculum ) distance was 2.0  0.8 cm . 
 the diameter of the medial branch ( d1 ) , the diameter of the lateral branch ( d2 ) , and the diameter of artery stem ( d3 ) ( only in type a ) were 1.0  0.2 mm , 0.8  0.3 mm , 1.1  0.2 mm , respectively . 
 the mean pedicle length of the lateral flap ( l1 ) and medial flap ( l2 ) were 5.1  1.0 cm and 3.7  0.6 cm , respectively.conclusions:the asma exists constantly with four different types of origin . 
 its sizable diameter and lengthy pedicle make it suitable for bi - foliate fasciocutaneous flap transfer . "
